Building_Name,property_type,pet_friendly,Bedroom_Count,Bathroom_Count,availability_status,availability_status_label,client.name,address.neighbourhood,address.address,address.city,address.province,address.country,address.postal_code,parking.indoor,parking.outdoor,parking.additional,geocode.latitude,geocode.longitude,statistics.suites.bedrooms.min,statistics.suites.bedrooms.max,statistics.suites.bedrooms.average,statistics.suites.bathrooms.min,statistics.suites.bathrooms.max,statistics.suites.bathrooms.average,statistics.suites.rates.min,statistics.suites.rates.max,statistics.suites.rates.average,statistics.suites.square_feet.min,statistics.suites.square_feet.max,statistics.suites.square_feet.average
Fort Knox,High-rise-apartment,n/a,"['0', '2']",['1'],1,Available May 2024,Templeton Properties,,3025 Olivet St.,Halifax,Nova Scotia,Canada,B3L 4A2,,,,44.6476276,-63.623603,0,2,1.0,1.0,1.0,1.0,1500.0,2200.0,1850.0,298.0,745.0,521.5
Prince Joe Castle,High-rise-apartment,True,"['0', '1', '2']","['1', '1.5']",1,Available May 2024,Templeton Properties,South End,5778 South St.,Halifax,Nova Scotia,Canada,B3H 4N5,,,,44.6374433,-63.5797438,0,2,1.2308,1.0,1.5,1.1538461538461537,1600.0,2600.0,2100.0,310.0,1013.0,598.4615384615385
Prince Matthew Palace,High-rise-apartment,True,"['0', '1', '2']","['1', '1.5']",1,Available May 2024,Templeton Properties,Downtown,1338 Hollis St.,Halifax,Nova Scotia,Canada,B3J 3X3,,,,44.6428116,-63.57052150000001,0,2,1.4,1.0,1.5,1.1,1600.0,2550.0,2075.0,434.0,920.0,718.4
Dalford,High-rise-apartment,n/a,"['0', '2']",['1'],1,Available May 2024,Templeton Properties,,6411 South St.,Halifax,Nova Scotia,Canada,B3H 1V1,,,,44.63428589999999,-63.59559410000001,0,2,1.0,1.0,1.0,1.0,1600.0,2500.0,2050.0,397.0,804.0,600.5
The Kingsford,High-rise-apartment,True,"['0', '1', '2']",['1'],1,Available June 2024,Templeton Properties,South End,1585 Oxford St.,Halifax,Nova Scotia,Canada,B3H 3Z3,,,,44.638743,-63.59691849999999,0,2,0.8889,1.0,1.0,1.0,1600.0,2600.0,2100.0,413.0,722.0,525.4444444444445
The Scotian,Mid-rise-apartment,True,"['0', '1']",['1'],1,Available Now,Templeton Properties,Downtown,5222 Green Street,Halifax,Nova Scotia,Canada,B3H 1N7,,,,44.637495,-63.570322,0,1,0.75,1.0,1.0,1.0,1650.0,2100.0,1875.0,0.0,300.0,75.0
The Scotian,High-rise-apartment,n/a,['1'],['1'],1,Available Now,Templeton Properties,,5222 Green St.,Halifax,Nova Scotia,Canada,B3H 1N7,,,,44.63753579999999,-63.5703159,1,1,1.0,1.0,1.0,1.0,1650.0,2100.0,1875.0,471.0,476.0,472.25
Marlborough,High-rise-apartment,True,"['1', '2']",['1'],1,Available May 2024,Templeton Properties,South End,1066 Tower Rd.,Halifax,Nova Scotia,Canada,B3H 2Y5,,,,44.6351521,-63.5806681,1,2,1.6667,1.0,1.0,1.0,1750.0,2200.0,1975.0,567.0,762.0,677.0
Margaret Ann,High-rise-apartment,n/a,['1'],['1'],1,Available May 2024,Templeton Properties,,1112 Tower Rd.,Halifax,Nova Scotia,Canada,B3H 2Y5,,,,44.6360848,-63.5786275,1,1,1.0,1.0,1.0,1.0,1750.0,1900.0,1825.0,292.0,524.0,408.0
King Andrew,High-rise-apartment,True,"['1', '2']","['1', '2']",1,Available July 2024,Templeton Properties,Clayton Park,290 Main Ave.,Halifax,Nova Scotia,Canada,B3M 3V3,,,,44.6520857,-63.65020339999999,1,2,1.3333,1.0,2.0,1.3333333333333333,1800.0,2500.0,2150.0,541.0,1162.0,836.6666666666666
Queen Sana Tower,High-rise-apartment,True,"['1', '2']",['1'],1,Available June 2024,Templeton Properties,South End,1157 Tower Rd.,Halifax,Nova Scotia,Canada,B3H 2Y7,,,,44.636983,-63.5783807,1,2,1.4286,1.0,1.0,1.0,1850.0,2500.0,2175.0,387.0,744.0,582.4285714285714
Oxford House,High-rise-apartment,True,['1'],['1'],1,Available September 2024,Templeton Properties,South End,1545 Oxford St.,Halifax,Nova Scotia,Canada,B3H 3Z3,,,,44.6383705,-63.5966785,1,1,1.0,1.0,1.0,1.0,1850.0,2100.0,1975.0,470.0,496.0,478.6666666666667
The Vuze,High-rise-apartment,True,"['1', '2']","['1', '1.5', '2']",1,Available Now,Templeton Properties,South Village,5633 Fenwick St.,Halifax,Nova Scotia,Canada,B3H 1R1,,,,44.6380814,-63.57531780000001,1,2,1.5645,1.0,2.0,1.3225806451612903,1895.0,3100.0,2497.5,450.0,1090.0,739.4677419354839
The Aya,High-rise-apartment,False,['1'],['1'],0,No Vacancy,Templeton Properties,South Village,5623 Fenwick St.,Halifax,Nova Scotia,Canada,B3H 1R1,,,,44.6379147,-63.5752493,1,1,1.0,1.0,1.0,1.0,2195.0,2195.0,2195.0,620.0,638.0,630.0
The Nook,High-rise-apartment,False,"['1', '2']","['1', '2']",0,No Vacancy,Templeton Properties,South End,5601 Fenwick St.,Halifax,Nova Scotia,Canada,B3H 1R1,,,,44.6379815,-63.5750991,1,2,1.5,1.0,2.0,1.5,2195.0,2700.0,2447.5,585.0,905.0,745.0
Palace Royale,High-rise-apartment,True,"['1', '2']","['1', '2']",1,Available May 2024,Templeton Properties,Clayton Park,333 Main Ave.,Halifax,Nova Scotia,Canada,B3S 0B6,,,,44.6514672,-63.6537874,1,2,1.8571,1.0,2.0,1.8571428571428572,2200.0,2600.0,2400.0,0.0,0.0,0.0
Cork House,Mid-rise-apartment,n/a,['2'],['1'],1,Available July 2024,Templeton Properties,,3011 Oxford St.,Halifax,Nova Scotia,Canada,B3L 2W7,,,,44.6540537,-63.6089479,2,2,2.0,1.0,1.0,1.0,2400.0,2400.0,2400.0,0.0,0.0,0.0
Fenpark,High-rise-apartment,True,['2'],['1'],0,No Vacancy,Templeton Properties,South End,1128 South Park St.,Halifax,Nova Scotia,Canada,B3H 2W7,,,,44.6366509,-63.5773556,2,2,2.0,1.0,1.0,1.0,2600.0,2600.0,2600.0,709.0,709.0,709.0
The Harwick,Mid-rise-apartment,True,['2'],['2'],0,No Vacancy,Templeton Properties,Central,6415 Pepperell St.,Halifax,Nova Scotia,Canada,B3H 2P5,,,,44.6439032,-63.60052769999999,2,2,2.0,2.0,2.0,2.0,5000.0,5000.0,5000.0,1900.0,1900.0,1900.0
